"Odseljeni zaposleni prebivalci po dejavnosti, spolu in državljanstvu, Slovenija, letno"

"LETO";"DRŽAVLJANSTVO";"SPOL";"DEJAVNOST";Odseljeni zaposleni prebivalci
"2014";"Državljani RS";"Moški";"Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo";1
"2014";"Državljani RS";"Moški";"Dejavnost eksteritorialnih organizacij in teles";0
"2014";"Državljani RS";"Ženske";"Kmetijstvo in lov, gozdarstvo, ribištvo";37
"2014";"Državljani RS";"Ženske";"Rudarstvo";0
"2014";"Državljani RS";"Ženske";"Predelovalne dejavnosti";153
"2014";"Državljani RS";"Ženske";"Oskrba z elektrièno energijo, plinom in paro";5
"2014";"Državljani RS";"Ženske";"Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja";5
"2014";"Državljani RS";"Ženske";"Gradbeništvo";39
"2014";"Državljani RS";"Ženske";"Trgovina, vzdrževanje in popravila motornih vozil";136
"2014";"Državljani RS";"Ženske";"Promet in skladišèenje";21
"2014";"Državljani RS";"Ženske";"Gostinstvo";29
"2014";"Državljani RS";"Ženske";"Informacijske in komunikacijske dejavnosti";36
"2014";"Državljani RS";"Ženske";"Finanène in zavarovalniške dejavnosti";22
"2014";"Državljani RS";"Ženske";"Poslovanje z nepremièninami";8
"2014";"Državljani RS";"Ženske";"Strokovne, znanstvene in tehniène dejavnosti";77
"2014";"Državljani RS";"Ženske";"Druge raznovrstne poslovne dejavnosti";45
"2014";"Državljani RS";"Ženske";"Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti";62
"2014";"Državljani RS";"Ženske";"Izobraževanje";99
"2014";"Državljani RS";"Ženske";"Zdravstvo in socialno varstvo";93
"2014";"Državljani RS";"Ženske";"Kulturne, razvedrilne in rekreacijske dejavnosti";18
"2014";"Državljani RS";"Ženske";"Druge dejavnosti";14
"2014";"Državljani RS";"Ženske";"Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo";0
