"Priseljeni tujci po namenu priselitve in državi državljanstva, Slovenija, letno"

"LETO";"DRŽAVA DRŽAVLJANSTVA";"NAMEN PRISELITVE";Priseljeni tujci
"2007";"Kosovo";"Sezonsko delo";...
"2007";"Kosovo";"Združitev z družino";...
"2007";"Kosovo";"Študij";...
"2007";"Kosovo";"Drugo";...
"2007";"Kosovo";"Neznano";...
"2007";"Druge evropske države";"Zaposlitev";1760
"2007";"Druge evropske države";"Sezonsko delo";925
"2007";"Druge evropske države";"Združitev z družino";1030
"2007";"Druge evropske države";"Študij";175
"2007";"Druge evropske države";"Drugo";z
"2007";"Druge evropske države";"Neznano";z
"2007";"Neevropske države";"Zaposlitev";239
"2007";"Neevropske države";"Sezonsko delo";z
"2007";"Neevropske države";"Združitev z družino";224
"2007";"Neevropske države";"Študij";116
"2007";"Neevropske države";"Drugo";z
"2007";"Neevropske države";"Neznano";z
"2007";"Neznano";"Zaposlitev";z
"2007";"Neznano";"Sezonsko delo";0
"2007";"Neznano";"Združitev z družino";z
"2007";"Neznano";"Študij";0
"2007";"Neznano";"Drugo";z
"2007";"Neznano";"Neznano";0
"2008";"Države EU";"Zaposlitev";1199
"2008";"Države EU";"Sezonsko delo";147
"2008";"Države EU";"Združitev z družino";326
"2008";"Države EU";"Študij";26
"2008";"Države EU";"Drugo";372
"2008";"Države EU";"Neznano";0
"2008";"... Hrvaška";"Zaposlitev";...
"2008";"... Hrvaška";"Sezonsko delo";...
"2008";"... Hrvaška";"Združitev z družino";...
"2008";"... Hrvaška";"Študij";...
"2008";"... Hrvaška";"Drugo";...
"2008";"... Hrvaška";"Neznano";...
"2008";"... druge države èlanice EU";"Zaposlitev";...
"2008";"... druge države èlanice EU";"Sezonsko delo";...
"2008";"... druge države èlanice EU";"Združitev z družino";...
"2008";"... druge države èlanice EU";"Študij";...
"2008";"... druge države èlanice EU";"Drugo";...
"2008";"... druge države èlanice EU";"Neznano";...
"2008";"Bosna in Hercegovina";"Zaposlitev";9690
"2008";"Bosna in Hercegovina";"Sezonsko delo";1368
"2008";"Bosna in Hercegovina";"Združitev z družino";1815
"2008";"Bosna in Hercegovina";"Študij";48
"2008";"Bosna in Hercegovina";"Drugo";117
"2008";"Bosna in Hercegovina";"Neznano";0
"2008";"Hrvaška";"Zaposlitev";886
"2008";"Hrvaška";"Sezonsko delo";131
"2008";"Hrvaška";"Združitev z družino";380
"2008";"Hrvaška";"Študij";116
"2008";"Hrvaška";"Drugo";84
"2008";"Hrvaška";"Neznano";0
"2008";"Srbija";"Zaposlitev";2972
"2008";"Srbija";"Sezonsko delo";361
"2008";"Srbija";"Združitev z družino";852
"2008";"Srbija";"Študij";53
"2008";"Srbija";"Drugo";117
"2008";"Srbija";"Neznano";7
"2008";"Srbija in Èrna gora";"Zaposlitev";...
"2008";"Srbija in Èrna gora";"Sezonsko delo";...
"2008";"Srbija in Èrna gora";"Združitev z družino";...
"2008";"Srbija in Èrna gora";"Študij";...
"2008";"Srbija in Èrna gora";"Drugo";...
"2008";"Srbija in Èrna gora";"Neznano";...
"2008";"Èrna gora";"Zaposlitev";53
"2008";"Èrna gora";"Sezonsko delo";5
"2008";"Èrna gora";"Združitev z družino";67
"2008";"Èrna gora";"Študij";7
"2008";"Èrna gora";"Drugo";2
"2008";"Èrna gora";"Neznano";0
"2008";"Kosovo";"Zaposlitev";1251
"2008";"Kosovo";"Sezonsko delo";362
"2008";"Kosovo";"Združitev z družino";540
