"Prebivalstvo po starosti in spolu, statistiène regije, Slovenija, polletno"

"POLLETJE";"STATISTIÈNA REGIJA";"SPOL";"STAROST";Prebivalstvo
"2018H1";"Pomurska";"Spol - SKUPAJ";"Starost - SKUPAJ";114776
"2018H1";"Podravska";"Spol - SKUPAJ";"Starost - SKUPAJ";322058
"2018H1";"Koroška";"Spol - SKUPAJ";"Starost - SKUPAJ";70550
"2018H1";"Savinjska";"Spol - SKUPAJ";"Starost - SKUPAJ";254760
"2018H1";"Zasavska";"Spol - SKUPAJ";"Starost - SKUPAJ";57061
"2018H1";"Posavska";"Spol - SKUPAJ";"Starost - SKUPAJ";75359
"2018H1";"Jugovzhodna Slovenija";"Spol - SKUPAJ";"Starost - SKUPAJ";142819
"2018H1";"Osrednjeslovenska";"Spol - SKUPAJ";"Starost - SKUPAJ";542306
"2018H1";"Gorenjska";"Spol - SKUPAJ";"Starost - SKUPAJ";203636
"2018H1";"Primorsko-notranjska";"Spol - SKUPAJ";"Starost - SKUPAJ";52334
"2018H1";"Goriška";"Spol - SKUPAJ";"Starost - SKUPAJ";117260
"2018H1";"Obalno-kraška";"Spol - SKUPAJ";"Starost - SKUPAJ";113961
"2019H1";"Pomurska";"Spol - SKUPAJ";"Starost - SKUPAJ";114287
"2019H1";"Podravska";"Spol - SKUPAJ";"Starost - SKUPAJ";324104
"2019H1";"Koroška";"Spol - SKUPAJ";"Starost - SKUPAJ";70588
"2019H1";"Savinjska";"Spol - SKUPAJ";"Starost - SKUPAJ";256359
"2019H1";"Zasavska";"Spol - SKUPAJ";"Starost - SKUPAJ";56962
"2019H1";"Posavska";"Spol - SKUPAJ";"Starost - SKUPAJ";75559
"2019H1";"Jugovzhodna Slovenija";"Spol - SKUPAJ";"Starost - SKUPAJ";144032
"2019H1";"Osrednjeslovenska";"Spol - SKUPAJ";"Starost - SKUPAJ";549171
"2019H1";"Gorenjska";"Spol - SKUPAJ";"Starost - SKUPAJ";204670
"2019H1";"Primorsko-notranjska";"Spol - SKUPAJ";"Starost - SKUPAJ";52544
"2019H1";"Goriška";"Spol - SKUPAJ";"Starost - SKUPAJ";117616
"2019H1";"Obalno-kraška";"Spol - SKUPAJ";"Starost - SKUPAJ";115016
