"Priseljeni zaposleni prebivalci po dejavnosti, državljanstvu in spolu, Slovenija, letno"

"LETO";"DRŽAVLJANSTVO";"SPOL";"DEJAVNOST";Priseljeni zaposleni prebivalci
"2014";"Tuji državljani";"Moški";"Informacijske in komunikacijske dejavnosti";53
"2014";"Tuji državljani";"Moški";"Finanène in zavarovalniške dejavnosti";4
"2014";"Tuji državljani";"Moški";"Poslovanje z nepremièninami";31
"2014";"Tuji državljani";"Moški";"Strokovne, znanstvene in tehniène dejavnosti";215
"2014";"Tuji državljani";"Moški";"Druge raznovrstne poslovne dejavnosti";394
"2014";"Tuji državljani";"Moški";"Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti";1
"2014";"Tuji državljani";"Moški";"Izobraževanje";52
"2014";"Tuji državljani";"Moški";"Zdravstvo in socialno varstvo";24
"2014";"Tuji državljani";"Moški";"Kulturne, razvedrilne in rekreacijske dejavnosti";60
"2014";"Tuji državljani";"Moški";"Druge dejavnosti";35
"2014";"Tuji državljani";"Moški";"Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo";11
"2014";"Tuji državljani";"Moški";"Dejavnost eksteritorialnih organizacij in teles";0
"2014";"Tuji državljani";"Ženske";"Kmetijstvo in lov, gozdarstvo, ribištvo";6
"2014";"Tuji državljani";"Ženske";"Rudarstvo";0
"2014";"Tuji državljani";"Ženske";"Predelovalne dejavnosti";94
"2014";"Tuji državljani";"Ženske";"Oskrba z elektrièno energijo, plinom in paro";2
"2014";"Tuji državljani";"Ženske";"Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja";2
"2014";"Tuji državljani";"Ženske";"Gradbeništvo";43
"2014";"Tuji državljani";"Ženske";"Trgovina, vzdrževanje in popravila motornih vozil";99
"2014";"Tuji državljani";"Ženske";"Promet in skladišèenje";22
"2014";"Tuji državljani";"Ženske";"Gostinstvo";115
"2014";"Tuji državljani";"Ženske";"Informacijske in komunikacijske dejavnosti";6
"2014";"Tuji državljani";"Ženske";"Finanène in zavarovalniške dejavnosti";4
"2014";"Tuji državljani";"Ženske";"Poslovanje z nepremièninami";15
"2014";"Tuji državljani";"Ženske";"Strokovne, znanstvene in tehniène dejavnosti";97
"2014";"Tuji državljani";"Ženske";"Druge raznovrstne poslovne dejavnosti";217
"2014";"Tuji državljani";"Ženske";"Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti";1
"2014";"Tuji državljani";"Ženske";"Izobraževanje";37
"2014";"Tuji državljani";"Ženske";"Zdravstvo in socialno varstvo";41
"2014";"Tuji državljani";"Ženske";"Kulturne, razvedrilne in rekreacijske dejavnosti";19
"2014";"Tuji državljani";"Ženske";"Druge dejavnosti";38
"2014";"Tuji državljani";"Ženske";"Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo";9
"2014";"Tuji državljani";"Ženske";"Dejavnost eksteritorialnih organizacij in teles";0
"2015";"Tuji državljani";"Moški";"Kmetijstvo in lov, gozdarstvo, ribištvo";40
"2015";"Tuji državljani";"Moški";"Rudarstvo";3
"2015";"Tuji državljani";"Moški";"Predelovalne dejavnosti";797
"2015";"Tuji državljani";"Moški";"Oskrba z elektrièno energijo, plinom in paro";12
