"Prebivalstvo, staro 15 ali veè let, po izobrazbi, petletnih starostnih skupinah in spolu, statistiène regije, letno"

"LETO";"SPOL";"STAROST";"STATISTIÈNA REGIJA";"IZOBRAZBA";Prebivalstvo, staro 15 ali veè let
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Koroška";"Visokošolska 2. stopnje ipd.";4254
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Koroška";"Visokošolska 3. stopnje ipd.";456
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Savinjska";"Brez izobrazbe, nepopolna osnovnošolska";9957
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Savinjska";"Osnovnošolska";57143
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Savinjska";"Srednješolska - Skupaj";119240
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Savinjska";"Nižja poklicna, srednja poklicna";57294
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Savinjska";"Srednja strokovna, srednja splošna";61946
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Savinjska";"Višješolska, visokošolska - Skupaj";35872
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Savinjska";"Visokošolska 1. stopnje ipd.";17490
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Savinjska";"Visokošolska 2. stopnje ipd.";16328
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Savinjska";"Visokošolska 3. stopnje ipd.";2054
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Zasavska";"Brez izobrazbe, nepopolna osnovnošolska";1952
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Zasavska";"Osnovnošolska";9997
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Zasavska";"Srednješolska - Skupaj";20697
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Zasavska";"Nižja poklicna, srednja poklicna";9500
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Zasavska";"Srednja strokovna, srednja splošna";11197
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Zasavska";"Višješolska, visokošolska - Skupaj";5574
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Zasavska";"Visokošolska 1. stopnje ipd.";2903
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Zasavska";"Visokošolska 2. stopnje ipd.";2402
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Zasavska";"Visokošolska 3. stopnje ipd.";269
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Posavska";"Brez izobrazbe, nepopolna osnovnošolska";3833
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Posavska";"Osnovnošolska";15203
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Posavska";"Srednješolska - Skupaj";32285
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Posavska";"Nižja poklicna, srednja poklicna";15621
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Posavska";"Srednja strokovna, srednja splošna";16664
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Posavska";"Višješolska, visokošolska - Skupaj";8998
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Posavska";"Visokošolska 1. stopnje ipd.";4372
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Posavska";"Visokošolska 2. stopnje ipd.";4277
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Posavska";"Visokošolska 3. stopnje ipd.";349
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Jugovzhodna Slovenija";"Brez izobrazbe, nepopolna osnovnošolska";8153
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Jugovzhodna Slovenija";"Osnovnošolska";30995
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Jugovzhodna Slovenija";"Srednješolska - Skupaj";62225
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Jugovzhodna Slovenija";"Nižja poklicna, srednja poklicna";29498
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Jugovzhodna Slovenija";"Srednja strokovna, srednja splošna";32727
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Jugovzhodna Slovenija";"Višješolska, visokošolska - Skupaj";19681
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Jugovzhodna Slovenija";"Visokošolska 1. stopnje ipd.";9685
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Jugovzhodna Slovenija";"Visokošolska 2. stopnje ipd.";8956
"2012";"Spol - SKUPAJ";"Starost - SKUPAJ";"Jugovzhodna Slovenija";"Visokošolska 3. stopnje ipd.";1040
