"Razpoložljivi dohodek gospodinjstev po starosti in spolu (EUR), Slovenija, letno"

"MERITVE";"STAROSTNE SKUPINE";"SPOL";"LETO";"DOHODEK";Razpoložljivi dohodek gospodinjstev (EUR)
"Povpreèni dohodek na èlana gospodinjstva";"Starost 18-24";"Moški";"2017";"Dohodek po socialnih transferjih";8867
"Povpreèni dohodek na èlana gospodinjstva";"Starost 18-24";"Moški";"2018";"Dohodek po socialnih transferjih";9026
"Povpreèni dohodek na èlana gospodinjstva";"Starost 18-24";"Moški";"2019";"Dohodek po socialnih transferjih";10194
"Povpreèni dohodek na èlana gospodinjstva";"Starost 18-24";"Ženske";"2008";"Dohodek po socialnih transferjih";7121
"Povpreèni dohodek na èlana gospodinjstva";"Starost 18-24";"Ženske";"2009";"Dohodek po socialnih transferjih";7954
"Povpreèni dohodek na èlana gospodinjstva";"Starost 18-24";"Ženske";"2010";"Dohodek po socialnih transferjih";7891
"Povpreèni dohodek na èlana gospodinjstva";"Starost 18-24";"Ženske";"2011";"Dohodek po socialnih transferjih";7979
"Povpreèni dohodek na èlana gospodinjstva";"Starost 18-24";"Ženske";"2012";"Dohodek po socialnih transferjih";7958
"Povpreèni dohodek na èlana gospodinjstva";"Starost 18-24";"Ženske";"2013";"Dohodek po socialnih transferjih";7471
"Povpreèni dohodek na èlana gospodinjstva";"Starost 18-24";"Ženske";"2014";"Dohodek po socialnih transferjih";7426
"Povpreèni dohodek na èlana gospodinjstva";"Starost 18-24";"Ženske";"2015";"Dohodek po socialnih transferjih";7720
"Povpreèni dohodek na èlana gospodinjstva";"Starost 18-24";"Ženske";"2016";"Dohodek po socialnih transferjih";7733
"Povpreèni dohodek na èlana gospodinjstva";"Starost 18-24";"Ženske";"2017";"Dohodek po socialnih transferjih";8104
"Povpreèni dohodek na èlana gospodinjstva";"Starost 18-24";"Ženske";"2018";"Dohodek po socialnih transferjih";8617
"Povpreèni dohodek na èlana gospodinjstva";"Starost 18-24";"Ženske";"2019";"Dohodek po socialnih transferjih";9601
"Povpreèni dohodek na èlana gospodinjstva";"Starost 25-49";"Spol - SKUPAJ";"2008";"Dohodek po socialnih transferjih";7602
"Povpreèni dohodek na èlana gospodinjstva";"Starost 25-49";"Spol - SKUPAJ";"2009";"Dohodek po socialnih transferjih";8230
"Povpreèni dohodek na èlana gospodinjstva";"Starost 25-49";"Spol - SKUPAJ";"2010";"Dohodek po socialnih transferjih";8341
"Povpreèni dohodek na èlana gospodinjstva";"Starost 25-49";"Spol - SKUPAJ";"2011";"Dohodek po socialnih transferjih";8496
"Povpreèni dohodek na èlana gospodinjstva";"Starost 25-49";"Spol - SKUPAJ";"2012";"Dohodek po socialnih transferjih";8497
"Povpreèni dohodek na èlana gospodinjstva";"Starost 25-49";"Spol - SKUPAJ";"2013";"Dohodek po socialnih transferjih";8391
"Povpreèni dohodek na èlana gospodinjstva";"Starost 25-49";"Spol - SKUPAJ";"2014";"Dohodek po socialnih transferjih";8426
"Povpreèni dohodek na èlana gospodinjstva";"Starost 25-49";"Spol - SKUPAJ";"2015";"Dohodek po socialnih transferjih";8590
"Povpreèni dohodek na èlana gospodinjstva";"Starost 25-49";"Spol - SKUPAJ";"2016";"Dohodek po socialnih transferjih";8579
"Povpreèni dohodek na èlana gospodinjstva";"Starost 25-49";"Spol - SKUPAJ";"2017";"Dohodek po socialnih transferjih";8842
"Povpreèni dohodek na èlana gospodinjstva";"Starost 25-49";"Spol - SKUPAJ";"2018";"Dohodek po socialnih transferjih";9246
"Povpreèni dohodek na èlana gospodinjstva";"Starost 25-49";"Spol - SKUPAJ";"2019";"Dohodek po socialnih transferjih";10099
"Povpreèni dohodek na èlana gospodinjstva";"Starost 25-49";"Moški";"2008";"Dohodek po socialnih transferjih";7633
"Povpreèni dohodek na èlana gospodinjstva";"Starost 25-49";"Moški";"2009";"Dohodek po socialnih transferjih";8305
"Povpreèni dohodek na èlana gospodinjstva";"Starost 25-49";"Moški";"2010";"Dohodek po socialnih transferjih";8392
"Povpreèni dohodek na èlana gospodinjstva";"Starost 25-49";"Moški";"2011";"Dohodek po socialnih transferjih";8560
