"Priseljeni prebivalci po državi prejšnjega prebivališèa, državljanstvu in starostnih skupinah, Slovenija, letno"

"LETO";"DRŽAVLJANSTVO";"DRŽAVA PREJŠNJEGA PREBIVALIŠÈA";"STAROSTNE SKUPINE";Priseljeni prebivalci
"2011";"Tuji državljani";"....Ukrajina";"30-34";40
"2011";"Tuji državljani";"....Ukrajina";"35-39";27
"2011";"Tuji državljani";"....Ukrajina";"40-44";15
"2011";"Tuji državljani";"....Ukrajina";"45-49";14
"2011";"Tuji državljani";"....Ukrajina";"50-54";8
"2011";"Tuji državljani";"....Ukrajina";"55-59";5
"2011";"Tuji državljani";"....Ukrajina";"60-64";1
"2011";"Tuji državljani";"....Ukrajina";"65 +";2
"2011";"Tuji državljani";"....ostale evropske države";"0-14";14
"2011";"Tuji državljani";"....ostale evropske države";"15-19";0
"2011";"Tuji državljani";"....ostale evropske države";"20-24";7
"2011";"Tuji državljani";"....ostale evropske države";"25-29";15
"2011";"Tuji državljani";"....ostale evropske države";"30-34";12
"2011";"Tuji državljani";"....ostale evropske države";"35-39";8
"2011";"Tuji državljani";"....ostale evropske države";"40-44";4
"2011";"Tuji državljani";"....ostale evropske države";"45-49";2
"2011";"Tuji državljani";"....ostale evropske države";"50-54";2
"2011";"Tuji državljani";"....ostale evropske države";"55-59";1
"2011";"Tuji državljani";"....ostale evropske države";"60-64";0
"2011";"Tuji državljani";"....ostale evropske države";"65 +";2
"2011";"Tuji državljani";"AFRIKA";"0-14";0
"2011";"Tuji državljani";"AFRIKA";"15-19";3
"2011";"Tuji državljani";"AFRIKA";"20-24";16
"2011";"Tuji državljani";"AFRIKA";"25-29";19
"2011";"Tuji državljani";"AFRIKA";"30-34";16
"2011";"Tuji državljani";"AFRIKA";"35-39";6
"2011";"Tuji državljani";"AFRIKA";"40-44";1
"2011";"Tuji državljani";"AFRIKA";"45-49";2
"2011";"Tuji državljani";"AFRIKA";"50-54";1
"2011";"Tuji državljani";"AFRIKA";"55-59";0
"2011";"Tuji državljani";"AFRIKA";"60-64";1
"2011";"Tuji državljani";"AFRIKA";"65 +";0
"2011";"Tuji državljani";"AZIJA";"0-14";29
"2011";"Tuji državljani";"AZIJA";"15-19";7
"2011";"Tuji državljani";"AZIJA";"20-24";42
"2011";"Tuji državljani";"AZIJA";"25-29";69
"2011";"Tuji državljani";"AZIJA";"30-34";45
"2011";"Tuji državljani";"AZIJA";"35-39";35
"2011";"Tuji državljani";"AZIJA";"40-44";24
"2011";"Tuji državljani";"AZIJA";"45-49";8
"2011";"Tuji državljani";"AZIJA";"50-54";9
"2011";"Tuji državljani";"AZIJA";"55-59";5
"2011";"Tuji državljani";"AZIJA";"60-64";5
"2011";"Tuji državljani";"AZIJA";"65 +";3
"2011";"Tuji državljani";"SEVERNA IN SREDNJA AMERIKA";"0-14";15
"2011";"Tuji državljani";"SEVERNA IN SREDNJA AMERIKA";"15-19";4
"2011";"Tuji državljani";"SEVERNA IN SREDNJA AMERIKA";"20-24";18
"2011";"Tuji državljani";"SEVERNA IN SREDNJA AMERIKA";"25-29";19
"2011";"Tuji državljani";"SEVERNA IN SREDNJA AMERIKA";"30-34";26
"2011";"Tuji državljani";"SEVERNA IN SREDNJA AMERIKA";"35-39";19
"2011";"Tuji državljani";"SEVERNA IN SREDNJA AMERIKA";"40-44";8
"2011";"Tuji državljani";"SEVERNA IN SREDNJA AMERIKA";"45-49";9
"2011";"Tuji državljani";"SEVERNA IN SREDNJA AMERIKA";"50-54";3
"2011";"Tuji državljani";"SEVERNA IN SREDNJA AMERIKA";"55-59";0
"2011";"Tuji državljani";"SEVERNA IN SREDNJA AMERIKA";"60-64";5
"2011";"Tuji državljani";"SEVERNA IN SREDNJA AMERIKA";"65 +";3
"2011";"Tuji državljani";"JUŽNA AMERIKA";"0-14";7
"2011";"Tuji državljani";"JUŽNA AMERIKA";"15-19";1
"2011";"Tuji državljani";"JUŽNA AMERIKA";"20-24";7
"2011";"Tuji državljani";"JUŽNA AMERIKA";"25-29";15
"2011";"Tuji državljani";"JUŽNA AMERIKA";"30-34";8
"2011";"Tuji državljani";"JUŽNA AMERIKA";"35-39";7
"2011";"Tuji državljani";"JUŽNA AMERIKA";"40-44";2
"2011";"Tuji državljani";"JUŽNA AMERIKA";"45-49";1
"2011";"Tuji državljani";"JUŽNA AMERIKA";"50-54";1
"2011";"Tuji državljani";"JUŽNA AMERIKA";"55-59";1
"2011";"Tuji državljani";"JUŽNA AMERIKA";"60-64";0
"2011";"Tuji državljani";"JUŽNA AMERIKA";"65 +";1
"2011";"Tuji državljani";"AVSTRALIJA IN OCEANIJA";"0-14";2
"2011";"Tuji državljani";"AVSTRALIJA IN OCEANIJA";"15-19";0
"2011";"Tuji državljani";"AVSTRALIJA IN OCEANIJA";"20-24";1
"2011";"Tuji državljani";"AVSTRALIJA IN OCEANIJA";"25-29";3
"2011";"Tuji državljani";"AVSTRALIJA IN OCEANIJA";"30-34";1
"2011";"Tuji državljani";"AVSTRALIJA IN OCEANIJA";"35-39";5
"2011";"Tuji državljani";"AVSTRALIJA IN OCEANIJA";"40-44";1
"2011";"Tuji državljani";"AVSTRALIJA IN OCEANIJA";"45-49";2
"2011";"Tuji državljani";"AVSTRALIJA IN OCEANIJA";"50-54";1
"2011";"Tuji državljani";"AVSTRALIJA IN OCEANIJA";"55-59";0
"2011";"Tuji državljani";"AVSTRALIJA IN OCEANIJA";"60-64";1
"2011";"Tuji državljani";"AVSTRALIJA IN OCEANIJA";"65 +";1
"2012";"Tuji državljani";"....Bosna in Hercegovina";"0-14";583
"2012";"Tuji državljani";"....Bosna in Hercegovina";"15-19";247
"2012";"Tuji državljani";"....Bosna in Hercegovina";"20-24";631
"2012";"Tuji državljani";"....Bosna in Hercegovina";"25-29";734
"2012";"Tuji državljani";"....Bosna in Hercegovina";"30-34";536
"2012";"Tuji državljani";"....Bosna in Hercegovina";"35-39";402
"2012";"Tuji državljani";"....Bosna in Hercegovina";"40-44";326
"2012";"Tuji državljani";"....Bosna in Hercegovina";"45-49";267
"2012";"Tuji državljani";"....Bosna in Hercegovina";"50-54";205
"2012";"Tuji državljani";"....Bosna in Hercegovina";"55-59";89
"2012";"Tuji državljani";"....Bosna in Hercegovina";"60-64";22
"2012";"Tuji državljani";"....Bosna in Hercegovina";"65 +";21
"2012";"Tuji državljani";"....Èrna gora";"0-14";4
"2012";"Tuji državljani";"....Èrna gora";"15-19";4
"2012";"Tuji državljani";"....Èrna gora";"20-24";20
"2012";"Tuji državljani";"....Èrna gora";"25-29";11
"2012";"Tuji državljani";"....Èrna gora";"30-34";12
"2012";"Tuji državljani";"....Èrna gora";"35-39";7
"2012";"Tuji državljani";"....Èrna gora";"40-44";6
"2012";"Tuji državljani";"....Èrna gora";"45-49";1
"2012";"Tuji državljani";"....Èrna gora";"50-54";2
"2012";"Tuji državljani";"....Èrna gora";"55-59";3
"2012";"Tuji državljani";"....Èrna gora";"60-64";2
"2012";"Tuji državljani";"....Èrna gora";"65 +";2
"2012";"Tuji državljani";"....Kosovo";"0-14";349
"2012";"Tuji državljani";"....Kosovo";"15-19";122
"2012";"Tuji državljani";"....Kosovo";"20-24";208
"2012";"Tuji državljani";"....Kosovo";"25-29";203
"2012";"Tuji državljani";"....Kosovo";"30-34";145
"2012";"Tuji državljani";"....Kosovo";"35-39";115
"2012";"Tuji državljani";"....Kosovo";"40-44";81
"2012";"Tuji državljani";"....Kosovo";"45-49";46
"2012";"Tuji državljani";"....Kosovo";"50-54";26
"2012";"Tuji državljani";"....Kosovo";"55-59";8
"2012";"Tuji državljani";"....Kosovo";"60-64";3
"2012";"Tuji državljani";"....Kosovo";"65 +";13
"2012";"Tuji državljani";"....Severna Makedonija";"0-14";180
"2012";"Tuji državljani";"....Severna Makedonija";"15-19";126
"2012";"Tuji državljani";"....Severna Makedonija";"20-24";220
"2012";"Tuji državljani";"....Severna Makedonija";"25-29";195
"2012";"Tuji državljani";"....Severna Makedonija";"30-34";124
"2012";"Tuji državljani";"....Severna Makedonija";"35-39";92
"2012";"Tuji državljani";"....Severna Makedonija";"40-44";85
"2012";"Tuji državljani";"....Severna Makedonija";"45-49";73
"2012";"Tuji državljani";"....Severna Makedonija";"50-54";48
"2012";"Tuji državljani";"....Severna Makedonija";"55-59";13
"2012";"Tuji državljani";"....Severna Makedonija";"60-64";12
"2012";"Tuji državljani";"....Severna Makedonija";"65 +";9
"2012";"Tuji državljani";"....Srbija";"0-14";119
"2012";"Tuji državljani";"....Srbija";"15-19";44
"2012";"Tuji državljani";"....Srbija";"20-24";135
"2012";"Tuji državljani";"....Srbija";"25-29";212
"2012";"Tuji državljani";"....Srbija";"30-34";261
"2012";"Tuji državljani";"....Srbija";"35-39";192
"2012";"Tuji državljani";"....Srbija";"40-44";165
"2012";"Tuji državljani";"....Srbija";"45-49";126
"2012";"Tuji državljani";"....Srbija";"50-54";102
"2012";"Tuji državljani";"....Srbija";"55-59";38
"2012";"Tuji državljani";"....Srbija";"60-64";15
"2012";"Tuji državljani";"....Srbija";"65 +";16
"2012";"Tuji državljani";" - Države EU - SKUPAJ";"0-14";158
"2012";"Tuji državljani";" - Države EU - SKUPAJ";"15-19";36
"2012";"Tuji državljani";" - Države EU - SKUPAJ";"20-24";140
"2012";"Tuji državljani";" - Države EU - SKUPAJ";"25-29";299
"2012";"Tuji državljani";" - Države EU - SKUPAJ";"30-34";283
"2012";"Tuji državljani";" - Države EU - SKUPAJ";"35-39";283
"2012";"Tuji državljani";" - Države EU - SKUPAJ";"40-44";252
"2012";"Tuji državljani";" - Države EU - SKUPAJ";"45-49";180
"2012";"Tuji državljani";" - Države EU - SKUPAJ";"50-54";134
"2012";"Tuji državljani";" - Države EU - SKUPAJ";"55-59";93
"2012";"Tuji državljani";" - Države EU - SKUPAJ";"60-64";75
"2012";"Tuji državljani";" - Države EU - SKUPAJ";"65 +";155
"2012";"Tuji državljani";"....Avstrija";"0-14";6
"2012";"Tuji državljani";"....Avstrija";"15-19";0
"2012";"Tuji državljani";"....Avstrija";"20-24";4
"2012";"Tuji državljani";"....Avstrija";"25-29";9
"2012";"Tuji državljani";"....Avstrija";"30-34";10
"2012";"Tuji državljani";"....Avstrija";"35-39";14
"2012";"Tuji državljani";"....Avstrija";"40-44";12
"2012";"Tuji državljani";"....Avstrija";"45-49";6
"2012";"Tuji državljani";"....Avstrija";"50-54";11
"2012";"Tuji državljani";"....Avstrija";"55-59";11
"2012";"Tuji državljani";"....Avstrija";"60-64";8
"2012";"Tuji državljani";"....Avstrija";"65 +";22
"2012";"Tuji državljani";"....Belgija";"0-14";2
"2012";"Tuji državljani";"....Belgija";"15-19";0
"2012";"Tuji državljani";"....Belgija";"20-24";0
"2012";"Tuji državljani";"....Belgija";"25-29";0
"2012";"Tuji državljani";"....Belgija";"30-34";2
"2012";"Tuji državljani";"....Belgija";"35-39";3
"2012";"Tuji državljani";"....Belgija";"40-44";2
"2012";"Tuji državljani";"....Belgija";"45-49";3
"2012";"Tuji državljani";"....Belgija";"50-54";0
"2012";"Tuji državljani";"....Belgija";"55-59";1
"2012";"Tuji državljani";"....Belgija";"60-64";1
"2012";"Tuji državljani";"....Belgija";"65 +";2
"2012";"Tuji državljani";"....Bolgarija";"0-14";31
"2012";"Tuji državljani";"....Bolgarija";"15-19";14
"2012";"Tuji državljani";"....Bolgarija";"20-24";66
"2012";"Tuji državljani";"....Bolgarija";"25-29";113
"2012";"Tuji državljani";"....Bolgarija";"30-34";102
"2012";"Tuji državljani";"....Bolgarija";"35-39";88
"2012";"Tuji državljani";"....Bolgarija";"40-44";105
"2012";"Tuji državljani";"....Bolgarija";"45-49";57
"2012";"Tuji državljani";"....Bolgarija";"50-54";39
"2012";"Tuji državljani";"....Bolgarija";"55-59";19
"2012";"Tuji državljani";"....Bolgarija";"60-64";5
"2012";"Tuji državljani";"....Bolgarija";"65 +";1
"2012";"Tuji državljani";"....Hrvaška";"0-14";27
"2012";"Tuji državljani";"....Hrvaška";"15-19";34
"2012";"Tuji državljani";"....Hrvaška";"20-24";188
"2012";"Tuji državljani";"....Hrvaška";"25-29";223
"2012";"Tuji državljani";"....Hrvaška";"30-34";152
"2012";"Tuji državljani";"....Hrvaška";"35-39";117
"2012";"Tuji državljani";"....Hrvaška";"40-44";73
