"Razpoložljivi dohodek gospodinjstev (EUR), statistiène regije, Slovenija, letno"

"MERITVE";"STATISTIÈNA REGIJA";"LETO";"DOHODEK";Razpoložljivi dohodek gospodinjstev (EUR)
"Povpreèni dohodek na èlana gospodinjstva";"Osrednjeslovenska";"2015";"Dohodek po socialnih transferjih";9627
"Povpreèni dohodek na èlana gospodinjstva";"Osrednjeslovenska";"2016";"Dohodek po socialnih transferjih";9719
"Povpreèni dohodek na èlana gospodinjstva";"Osrednjeslovenska";"2017";"Dohodek po socialnih transferjih";9859
"Povpreèni dohodek na èlana gospodinjstva";"Osrednjeslovenska";"2018";"Dohodek po socialnih transferjih";10222
"Povpreèni dohodek na èlana gospodinjstva";"Osrednjeslovenska";"2019";"Dohodek po socialnih transferjih";10952
"Povpreèni dohodek na èlana gospodinjstva";"Gorenjska";"2008";"Dohodek po socialnih transferjih";7771
"Povpreèni dohodek na èlana gospodinjstva";"Gorenjska";"2009";"Dohodek po socialnih transferjih";8561
"Povpreèni dohodek na èlana gospodinjstva";"Gorenjska";"2010";"Dohodek po socialnih transferjih";8418
"Povpreèni dohodek na èlana gospodinjstva";"Gorenjska";"2011";"Dohodek po socialnih transferjih";8495
"Povpreèni dohodek na èlana gospodinjstva";"Gorenjska";"2012";"Dohodek po socialnih transferjih";8652
"Povpreèni dohodek na èlana gospodinjstva";"Gorenjska";"2013";"Dohodek po socialnih transferjih";8271
"Povpreèni dohodek na èlana gospodinjstva";"Gorenjska";"2014";"Dohodek po socialnih transferjih";8479
"Povpreèni dohodek na èlana gospodinjstva";"Gorenjska";"2015";"Dohodek po socialnih transferjih";8491
"Povpreèni dohodek na èlana gospodinjstva";"Gorenjska";"2016";"Dohodek po socialnih transferjih";8532
"Povpreèni dohodek na èlana gospodinjstva";"Gorenjska";"2017";"Dohodek po socialnih transferjih";8940
"Povpreèni dohodek na èlana gospodinjstva";"Gorenjska";"2018";"Dohodek po socialnih transferjih";9509
"Povpreèni dohodek na èlana gospodinjstva";"Gorenjska";"2019";"Dohodek po socialnih transferjih";10202
"Povpreèni dohodek na èlana gospodinjstva";"Primorsko-notranjska";"2008";"Dohodek po socialnih transferjih";7616
"Povpreèni dohodek na èlana gospodinjstva";"Primorsko-notranjska";"2009";"Dohodek po socialnih transferjih";8194
